,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
403,Vincent Aboubakar,3,1,142,2,1,6,3,0.33,0.67,2,0,2,1,20,31,64.5,0,0,0,0,4,0,48,5,7,71.4,3,2,0,0,0,0,0,2,3,FW,30,sa,Al-Nassr,Cameroon
404,Samuel Oum Gouet,2,1,100,0,0,0,0,,,0,0,0,0,52,59,88.1,1,1,0,0,3,0,65,0,0,,0,1,0,1,0,0,0,1,0,MF,24,be,Mechelen,Cameroon
405,Moumi Ngamaleu,2,1,95,0,0,0,0,,,0,0,0,0,21,25,84,3,1,0,0,0,0,36,2,4,50,3,5,0,1,0,0,0,0,2,"FW,MF",27,ru,Dynamo Mosc,Cameroon
406,Enzo Ebosse,1,1,90,0,0,0,0,,,0,0,0,0,34,38,89.5,4,2,1,0,5,0,49,0,0,,0,0,0,0,0,0,0,2,0,DF,23,it,Udinese,Cameroon
407,Christopher Wooh,1,1,90,0,0,1,0,0,,0,0,0,0,25,31,80.6,1,0,3,1,6,0,45,0,0,,2,0,0,0,0,0,0,0,0,DF,20,fr,Rennes,Cameroon
408,André Onana,1,1,80,0,0,0,0,,,0,0,0,0,45,59,76.3,0,0,0,0,0,0,60,0,0,,0,0,0,0,0,0,0,0,0,GK,26,it,Inter,Cameroon
409,Gaël Ondoua,2,0,47,0,0,0,0,,,0,0,0,0,17,19,89.5,2,1,1,2,0,0,25,0,0,,2,1,0,0,0,0,0,1,2,MF,26,de,Hannover 96,Cameroon
410,Georges-Kévin N'Koudou,2,0,27,0,0,1,1,0,0,0,0,0,0,9,12,75,0,0,0,0,0,0,21,0,2,0,1,1,0,2,0,0,0,0,1,"FW,MF",27,tr,Beşiktaş,Cameroon
411,Olivier Ntcham,1,0,25,0,0,1,1,0,0,0,0,0,0,11,12,91.7,0,0,0,0,1,0,14,2,2,100,0,0,0,0,0,0,0,0,0,MF,26,eng,Swansea City,Cameroon
412,Christian Bassogog,1,0,24,0,0,0,0,,,0,0,1,0,5,9,55.6,0,0,0,1,0,0,14,2,4,50,0,1,0,2,0,0,0,0,0,MF,26,cn,Shanghai Shen,Cameroon
413,Jerome Ngom Mbekeli,1,0,5,0,0,0,0,,,0,0,0,0,1,2,50,0,0,0,0,1,0,4,0,0,,0,0,0,2,0,0,0,1,0,MF,23,cm,Colombe Sportive du Dja et Lobo,Cameroon
414,José María Giménez,3,3,270,0,0,3,0,0,,0,0,1,0,141,174,81,4,1,6,7,11,0,213,0,0,,4,3,1,2,0,1,0,8,3,DF,27,es,Atlético Madrid,Uruguay
415,Sergio Rochet,3,3,270,0,0,0,0,,,0,0,0,0,54,78,69.2,0,0,0,0,1,1,89,0,0,,1,0,0,0,0,1,0,1,0,GK,29,uy,Nacional,Uruguay
416,Federico Valverde,3,3,270,0,0,7,1,0,0,0,0,0,0,159,189,84.1,7,4,6,5,1,0,227,1,4,25,6,2,0,7,0,0,0,1,3,MF,23,es,Real Madrid,Uruguay
417,Mathías Olivera,3,3,253,0,0,2,0,0,,0,0,1,0,104,133,78.2,9,5,9,2,10,0,183,0,3,0,2,3,0,6,0,0,0,6,4,DF,24,it,Napoli,Uruguay
418,Darwin Núñez,3,3,240,0,0,3,1,0,0,0,0,1,0,35,56,62.5,3,2,2,0,2,0,86,0,4,0,2,3,0,4,0,0,0,5,10,FW,22,eng,Liverpool,Uruguay
419,Rodrigo Bentancur,3,3,213,0,0,3,1,0,0,0,0,1,0,136,160,85,9,8,3,7,5,0,195,3,6,50,5,3,0,2,0,0,0,6,3,MF,24,eng,Tottenham,Uruguay
420,Matías Vecino,3,2,195,0,0,1,1,0,0,0,0,0,0,76,106,71.7,4,3,6,4,1,0,131,0,0,,4,0,0,1,0,0,0,3,3,MF,30,it,Lazio,Uruguay
421,Guillermo Varela,3,2,183,0,0,0,0,,,0,0,0,0,62,92,67.4,3,2,1,3,1,0,108,0,3,0,3,8,0,7,0,0,0,1,2,DF,29,br,Flamengo,Uruguay
422,Facundo Pellistri,3,2,181,0,0,1,0,0,,0,0,0,0,32,46,69.6,2,1,1,0,2,0,68,0,6,0,2,2,0,3,0,0,0,0,6,"MF,FW",20,eng,Manchester Utd,Uruguay
423,Sebastián Coates,2,2,180,0,0,1,0,0,,0,0,1,0,76,93,81.7,1,0,3,1,6,0,107,0,0,,2,0,0,0,0,0,0,7,0,DF,31,pt,Sporting CP,Uruguay
424,Diego Godín,2,2,151,0,0,1,0,0,,0,0,0,0,87,103,84.5,0,0,0,1,9,0,116,0,0,,0,1,0,0,0,0,0,8,2,DF,36,ar,Vélez Sarsf,Uruguay
425,Luis Suárez,3,2,146,0,1,2,1,0,0,0,0,1,0,25,40,62.5,1,0,0,0,2,0,52,2,3,66.7,0,6,1,0,0,0,0,2,4,FW,35,uy,Nacional,Uruguay
426,Edinson Cavani,3,1,124,0,0,3,0,0,,0,0,1,0,27,37,73,0,0,0,0,0,0,45,1,1,100,0,1,1,0,0,0,0,2,1,FW,35,es,Valencia,Uruguay
427,Giorgian De Arrascaeta,2,1,108,2,0,3,3,0.67,0.67,2,0,0,0,32,52,61.5,3,1,1,2,1,0,70,0,1,0,0,0,0,6,0,0,0,0,4,MF,28,br,Flamengo,Uruguay
428,Martín Cáceres,1,1,90,0,0,0,0,,,0,0,1,0,68,79,86.1,0,0,0,0,2,0,83,1,1,100,1,0,0,0,0,0,0,1,0,DF,35,us,LA Galaxy,Uruguay
429,Nicolás De La Cruz,2,0,38,0,0,1,1,0,0,0,0,0,0,20,25,80,0,0,0,0,0,0,29,0,1,0,0,2,0,1,0,0,0,0,1,MF,25,ar,River Plate,Uruguay
430,Maxi Gómez,2,0,30,0,0,2,1,0,0,0,0,0,0,5,7,71.4,0,0,0,0,0,0,9,0,0,,1,1,0,0,0,0,0,2,0,FW,25,tr,Trabzonspor,Uruguay
431,Matías Viña,2,0,17,0,0,0,0,,,0,0,0,0,11,21,52.4,4,3,0,0,0,0,26,1,1,100,1,0,0,2,0,0,0,0,0,DF,24,it,Roma,Uruguay
432,Agustín Canobbio,1,0,11,0,0,0,0,,,0,0,0,0,5,7,71.4,1,1,1,0,0,0,11,0,0,,0,1,0,0,0,0,0,0,1,MF,23,br,Atl Paranaense,Uruguay
433,Aimen Dahmen,3,3,270,0,0,0,0,,,0,0,0,0,48,77,62.3,0,0,0,0,2,0,82,0,0,,0,0,0,0,0,0,0,0,0,GK,25,tn,CS Sfaxien,Tunisia
434,Yassine Meriah,3,3,270,0,0,1,0,0,,0,0,0,0,139,171,81.3,4,2,5,1,20,0,208,2,4,50,3,1,0,2,0,0,0,5,6,DF,28,tn,Espérance de Tunis,Tunisia
435,Ellyes Skhiri,3,3,270,0,0,2,0,0,,0,0,0,0,109,127,85.8,10,3,2,7,3,0,161,1,3,33.3,3,2,0,2,0,0,0,1,0,MF,27,de,Köln,Tunisia
436,Montassar Talbi,3,3,270,0,0,1,1,0,0,0,0,0,0,118,137,86.1,2,2,7,2,18,0,177,0,1,0,4,2,0,0,0,0,0,8,9,DF,24,fr,Lorient,Tunisia
437,Aïssa Laïdouni,3,3,243,0,1,2,0,0,,0,0,1,0,99,123,80.5,3,3,7,4,6,0,157,1,4,25,3,6,0,3,0,0,0,3,1,MF,25,hu,Ferencváros,Tunisia
438,Ali Abdi,3,2,188,0,0,0,0,,,0,0,1,0,72,116,62.1,8,5,1,4,13,1,154,1,2,50,5,0,1,5,0,0,0,9,5,DF,28,fr,Caen,Tunisia
439,Issam Jebali,3,2,182,0,0,3,1,0,0,0,0,0,0,25,35,71.4,3,3,1,0,3,0,60,1,2,50,10,2,1,2,0,0,0,2,15,FW,30,dk,Odense,Tunisia
440,Youssef Msakni,2,2,169,0,0,9,2,0,0,0,0,0,0,50,69,72.5,3,1,2,0,1,0,92,4,7,57.1,0,4,0,2,0,0,0,3,6,"MF,FW",31,qa,Al-Arabi SC,Tunisia
441,Dylan Bronn,2,2,162,0,0,1,0,0,,0,0,0,0,75,98,76.5,4,2,2,0,0,0,106,0,0,,1,1,0,0,0,0,0,2,4,DF,26,it,Salernitana,Tunisia
442,Anis Ben Slimane,2,2,148,0,0,1,1,0,0,0,0,0,0,29,46,63,3,1,2,1,1,0,72,0,1,0,0,0,0,8,0,0,0,5,3,MF,21,dk,Brøndby,Tunisia
443,Mohamed Dräger,2,2,132,0,0,4,0,0,,0,0,0,0,36,50,72,5,3,0,1,4,0,74,1,2,50,2,1,0,3,0,0,0,1,1,DF,25,ch,Luzern,Tunisia
444,Naïm Sliti,2,1,114,0,0,1,0,0,,0,0,0,0,29,51,56.9,3,1,0,0,1,0,65,5,8,62.5,0,3,2,13,0,0,0,1,1,"MF,FW",29,sa,Al-Ettifaq,Tunisia
445,Wajdi Kechrida,3,1,111,0,0,0,0,,,0,0,1,0,44,69,63.8,3,3,3,0,4,0,84,0,3,0,2,0,0,5,0,0,0,1,2,DF,26,gr,Atromitos,Tunisia
446,Nader Ghandri,1,1,90,0,0,0,0,,,0,0,0,0,27,33,81.8,2,2,4,1,4,0,44,0,0,,0,1,1,0,0,0,0,2,1,DF,27,tn,Club Africain,Tunisia
447,Ali Maâloul,1,1,90,0,0,0,0,,,0,0,0,0,39,63,61.9,1,1,2,0,4,0,72,0,0,,0,0,0,13,0,0,0,0,1,DF,32,eg,Al Ahly SC,Tunisia
448,Wahbi Khazri,2,1,83,1,0,5,3,0.2,0.33,1,0,0,0,13,20,65,2,0,0,0,0,0,37,0,3,0,1,2,2,2,0,0,0,0,0,"FW,MF",31,fr,Montpellier,Tunisia
449,Mohamed Ali Ben Romdhane,1,1,73,0,0,0,0,,,0,0,0,0,14,21,66.7,5,4,1,0,0,0,31,1,3,33.3,1,1,0,1,0,0,0,1,0,MF,22,tn,Espérance de Tunis,Tunisia
450,Ferjani Sassi,2,0,48,0,0,1,0,0,,0,0,1,0,25,34,73.5,2,0,1,1,0,0,40,2,3,66.7,1,1,0,0,0,0,0,2,0,"MF,DF",30,qa,Al Duhail SC,Tunisia
451,Taha Yassine Khenissi,2,0,29,0,0,1,0,0,,0,0,1,0,2,6,33.3,0,0,0,0,0,0,8,0,0,,3,1,0,0,0,0,0,1,2,FW,30,kw,Kuwait SC,Tunisia
452,Ghaylène Chaalali,1,0,17,0,0,0,0,,,0,0,0,0,3,4,75,0,0,1,2,1,0,12,0,0,,1,0,0,0,0,0,0,1,0,MF,28,tn,Espérance de Tunis,Tunisia
453,Hannibal Mejbri,1,0,11,0,0,0,0,,,0,0,0,0,2,2,100,1,0,0,1,0,0,4,0,0,,0,0,0,0,0,0,0,0,0,MF,19,eng,Birmingham City,Tunisia
454,Luis Chávez,3,3,270,1,0,10,4,0.1,0.25,1,0,0,0,99,139,71.2,1,0,6,1,3,0,171,2,6,33.3,3,8,0,19,0,0,0,5,5,MF,26,mx,Pachuca,Mexico
455,Jesús Gallardo,3,3,270,0,0,1,0,0,,0,0,0,0,93,134,69.4,9,5,5,1,10,0,170,3,4,75,4,1,0,9,0,0,0,1,0,DF,27,mx,Monterrey,Mexico
456,César Montes,3,3,270,0,1,1,0,0,,0,0,0,0,159,197,80.7,6,3,0,2,11,0,222,2,2,100,4,0,0,0,0,0,0,7,5,DF,25,mx,Monterrey,Mexico
457,Héctor Moreno,3,3,270,0,0,1,0,0,,0,0,1,0,165,195,84.6,2,1,2,1,4,0,210,0,0,,3,3,0,0,0,1,0,5,8,DF,34,mx,Monterrey,Mexico
458,Guillermo Ochoa,3,3,270,0,0,0,0,,,0,0,0,0,93,109,85.3,0,0,0,0,0,0,111,0,0,,0,1,0,0,0,0,0,0,0,GK,36,mx,América,Mexico
459,Hirving Lozano,3,3,252,0,0,6,3,0,0,0,0,0,0,42,77,54.5,7,2,4,0,1,0,113,5,10,50,7,11,2,24,0,0,0,1,10,FW,26,it,Napoli,Mexico
460,Alexis Vega,3,3,193,0,0,9,2,0,0,0,0,0,0,40,56,71.4,0,0,1,1,2,0,83,1,4,25,2,6,4,6,0,0,0,1,5,FW,24,mx,Guadalajara,Mexico
461,Edson Álvarez,2,2,175,0,0,1,1,0,0,0,0,1,0,86,114,75.4,3,2,1,4,2,0,131,1,1,100,4,1,1,0,0,0,0,11,5,MF,24,nl,Ajax,Mexico
462,Jorge Eduardo Sánchez,2,2,175,0,0,1,1,0,0,0,0,1,0,69,87,79.3,1,0,2,3,8,0,115,1,4,25,5,1,2,2,0,0,0,3,2,DF,24,nl,Ajax,Mexico
463,Héctor Herrera,2,2,160,0,0,0,0,,,0,0,1,0,64,78,82.1,4,3,1,3,0,0,92,0,1,0,4,1,0,4,0,0,0,6,2,MF,32,us,Houston Dynamo,Mexico
464,Henry Martín,2,2,146,1,0,4,2,0.25,0.5,1,0,0,0,13,20,65,1,1,2,2,1,0,36,1,1,100,3,3,2,0,0,0,0,3,2,FW,29,mx,América,Mexico
465,Néstor Araujo,1,1,90,0,0,0,0,,,0,0,1,0,44,53,83,1,1,0,3,1,0,60,0,0,,2,0,0,2,0,0,0,0,0,DF,30,mx,América,Mexico
466,Orbelín Pineda,1,1,76,0,0,4,1,0,0,0,0,0,0,18,25,72,4,3,2,0,0,0,47,0,2,0,2,4,0,0,0,0,0,0,2,MF,26,gr,AEK Athens,Mexico
467,Kevin Álvarez,2,1,70,0,0,0,0,,,0,0,0,0,19,29,65.5,1,0,2,1,2,0,38,1,3,33.3,0,1,0,1,0,0,0,0,2,DF,23,mx,Pachuca,Mexico
468,Andrés Guardado,1,1,41,0,0,0,0,,,0,0,0,0,11,16,68.8,4,2,0,0,1,0,23,0,0,,1,0,0,0,0,0,0,0,0,MF,35,es,Betis,Mexico
469,Uriel Antuna,3,0,77,0,0,2,1,0,0,0,0,0,0,12,20,60,4,3,1,0,0,0,33,0,1,0,0,1,2,7,0,0,0,0,2,"FW,MF",24,mx,Cruz Azul,Mexico
470,Raúl Jiménez,3,0,59,0,0,0,0,,,0,0,0,0,20,32,62.5,0,0,0,1,1,0,37,0,0,,1,1,0,2,0,0,0,3,0,FW,31,eng,Wolves,Mexico
471,Erick Gutiérrez,1,0,49,0,0,0,0,,,0,0,1,0,24,29,82.8,1,1,0,2,1,0,35,0,1,0,2,3,0,0,0,0,0,1,0,MF,26,nl,PSV Eindhoven,Mexico
472,Charly Rodríguez,2,0,34,0,0,0,0,,,0,0,0,0,21,30,70,0,0,2,0,0,0,36,2,2,100,1,1,0,1,0,0,0,0,1,MF,25,mx,Cruz Azul,Mexico
473,Roberto Alvarado,1,0,18,0,0,0,0,,,0,0,1,0,5,10,50,0,0,0,0,0,0,12,0,1,0,1,0,0,2,0,0,0,1,0,FW,23,mx,Guadalajara,Mexico
474,Rogelio Funes Mori,1,0,5,0,0,1,0,0,,0,0,0,0,0,0,,1,0,0,0,0,0,2,0,0,,2,1,0,0,0,0,0,0,0,FW,31,mx,Monterrey,Mexico
475,Toby Alderweireld,3,3,270,0,1,0,0,,,0,0,0,0,248,273,90.8,4,2,3,0,19,0,302,0,0,,0,0,0,2,0,0,0,1,2,DF,33,be,Antwerp,Belgium
476,Timothy Castagne,3,3,270,0,0,0,0,,,0,0,0,0,176,202,87.1,7,4,1,2,4,0,231,0,2,0,3,1,0,3,0,0,0,2,3,DF,26,eng,Leicester City,Belgium
477,Thibaut Courtois,3,3,270,0,0,0,0,,,0,0,0,0,108,123,87.8,0,0,0,0,0,1,130,1,1,100,0,0,0,0,0,0,0,0,0,GK,30,es,Real Madrid,Belgium
478,Kevin De Bruyne,3,3,270,0,0,7,2,0,0,0,0,0,0,93,136,68.4,1,1,2,0,3,0,167,4,8,50,0,2,0,18,0,0,0,4,0,"FW,MF",30,eng,Manchester City,Belgium
479,Jan Vertonghen,3,3,270,0,0,2,0,0,,0,0,0,0,238,269,88.5,0,0,2,5,12,0,294,0,0,,0,6,0,0,0,0,0,11,5,DF,35,be,Anderlecht,Belgium
480,Axel Witsel,3,3,270,0,0,1,0,0,,0,0,0,0,169,177,95.5,4,2,5,4,6,0,200,0,0,,5,4,0,0,0,0,0,4,2,MF,33,es,Atlético Madrid,Belgium
481,Thomas Meunier,3,2,211,0,0,3,1,0,0,0,0,1,0,110,147,74.8,6,6,1,2,5,0,173,1,3,33.3,4,1,0,6,0,0,0,2,3,DF,30,de,Dortmund,Belgium
482,Leander Dendoncker,2,2,161,0,0,1,0,0,,0,0,1,0,119,122,97.5,6,3,4,0,5,0,144,0,1,0,3,0,0,0,0,0,0,2,1,"DF,MF",27,eng,Aston Villa,Belgium
483,Michy Batshuayi,2,2,151,1,0,6,2,0.17,0.5,1,0,0,0,16,24,66.7,1,0,1,0,0,0,42,1,3,33.3,5,1,2,0,0,0,0,1,2,FW,28,tr,Fenerbahçe,Belgium
484,Eden Hazard,3,2,124,0,0,1,1,0,0,0,0,0,0,46,58,79.3,0,0,1,1,0,0,70,5,10,50,0,7,0,1,0,0,0,1,1,MF,31,es,Real Madrid,Belgium
485,Yannick Carrasco,2,2,116,0,0,4,0,0,,0,0,1,0,39,46,84.8,5,4,2,1,4,0,67,1,3,33.3,1,2,0,2,0,1,0,0,0,"FW,DF",28,es,Atlético Madrid,Belgium
486,Thorgan Hazard,2,1,106,0,0,0,0,,,0,0,0,0,40,58,69,3,2,4,0,0,0,70,0,2,0,2,2,1,9,0,0,0,0,3,FW,29,de,Dortmund,Belgium
487,Amadou Onana,2,1,104,0,0,2,0,0,,0,0,2,0,58,64,90.6,4,1,1,0,0,0,76,1,1,100,4,3,0,0,0,0,0,2,0,MF,20,eng,Everton,Belgium
488,Leandro Trossard,3,1,103,0,0,0,0,,,0,0,0,0,43,57,75.4,1,1,1,0,0,0,68,0,4,0,0,2,0,2,0,0,0,0,0,"FW,MF",27,eng,Brighton,Belgium
489,Youri Tielemans,3,1,95,0,0,0,0,,,0,0,0,0,53,64,82.8,3,1,4,2,0,0,77,0,0,,2,1,0,1,0,0,0,2,1,MF,25,eng,Leicester City,Belgium
490,Dries Mertens,2,1,76,0,0,3,1,0,0,0,0,0,0,22,33,66.7,2,0,0,0,0,0,39,1,1,100,0,0,0,5,0,0,0,0,0,"MF,FW",35,tr,Galatasaray,Belgium
491,Romelu Lukaku,2,0,55,0,0,5,2,0,0,0,0,0,0,6,9,66.7,0,0,0,0,1,0,16,1,1,100,1,0,0,0,0,0,0,1,0,FW,29,it,Inter,Belgium
492,Jeremy Doku,1,0,19,0,0,0,0,,,0,0,0,0,8,14,57.1,0,0,0,0,0,0,17,2,4,50,0,1,0,3,0,0,0,0,1,"MF,FW",20,fr,Rennes,Belgium
493,Charles De Ketelaere,1,0,16,0,0,0,0,,,0,0,0,0,3,4,75,0,0,0,0,0,0,6,0,0,,0,1,0,0,0,0,0,0,3,FW,21,it,Milan,Belgium
494,Loïs Openda,1,0,13,0,0,0,0,,,0,0,0,0,3,5,60,1,0,1,0,0,0,10,1,1,100,0,1,0,1,0,0,0,0,1,FW,22,fr,Lens,Belgium
495,Lawrence Ati-Zigi,3,3,270,0,0,0,0,,,0,0,0,0,54,78,69.2,0,0,0,0,0,0,87,0,0,,0,0,0,0,0,0,0,0,0,GK,25,ch,St,Ghana
496,Thomas Partey,3,3,270,0,0,2,0,0,,0,0,0,0,146,176,83,9,5,8,0,8,0,219,3,3,100,3,2,0,1,0,0,0,6,3,MF,29,eng,Arsenal,Ghana
497,Mohammed Salisu,3,3,270,1,0,2,1,0.5,1,1,0,0,0,109,151,72.2,2,1,5,3,17,0,184,0,0,,6,1,0,0,0,1,0,8,8,DF,23,eng,Southampton,Ghana
498,Iñaki Williams,3,3,270,0,0,2,0,0,,0,0,0,0,29,42,69,4,2,3,0,2,0,63,1,1,100,4,3,1,1,0,0,0,1,3,FW,27,es,Athletic Club,Ghana
499,Daniel Amartey,3,3,251,0,0,1,0,0,,0,0,2,0,128,141,90.8,6,4,4,3,12,0,172,1,1,100,3,1,0,0,0,0,0,5,4,DF,27,eng,Leicester City,Ghana
500,Salis Abdul Samed,3,3,250,0,0,1,0,0,,0,0,0,0,129,145,89,2,2,2,4,8,0,170,3,4,75,5,2,0,2,0,0,0,0,3,MF,22,fr,Lens,Ghana
501,Kudus Mohammed,3,3,247,2,0,8,4,0.25,0.5,2,0,1,0,62,87,71.3,5,4,4,1,0,0,119,10,15,66.7,3,5,1,6,1,0,0,0,4,"FW,MF",21,nl,Ajax,Ghana
502,André Ayew,3,3,198,1,0,1,1,1,1,1,0,1,0,30,37,81.1,4,1,1,0,3,0,61,0,2,0,2,6,1,0,0,0,0,3,13,"MF,FW",32,qa,Al Sadd SC,Ghana
503,Baba Rahman,3,2,183,0,0,0,0,,,0,0,0,0,66,100,66,5,3,1,1,3,1,121,1,5,20,7,1,0,11,0,0,0,2,4,DF,27,eng,Reading,Ghana
504,Alidu Seidu,2,2,155,0,0,1,0,0,,0,0,2,0,59,78,75.6,6,4,5,0,3,0,101,4,6,66.7,5,5,0,6,0,0,0,1,0,DF,22,fr,Clermont Foot,Ghana
505,Jordan Ayew,3,2,136,0,1,1,1,0,0,0,0,0,0,35,46,76.1,3,3,0,1,1,0,67,1,7,14.3,2,5,0,8,0,0,0,0,5,FW,30,eng,Crystal Palace,Ghana
506,Tariq Lamptey,2,1,102,0,0,1,0,0,,0,0,1,0,21,34,61.8,3,1,1,1,4,0,51,0,3,0,3,2,0,3,0,0,0,0,1,DF,21,eng,Brighton,Ghana
507,Alexander Djiku,2,1,97,0,0,0,0,,,0,0,0,0,22,28,78.6,1,1,0,2,9,0,43,0,0,,0,2,0,0,0,0,0,2,0,"DF,FW",27,fr,Strasbourg,Ghana
508,Gideon Mensah,1,1,87,0,1,0,0,,,0,0,0,0,36,46,78.3,1,1,1,2,5,0,59,0,0,,0,0,0,1,0,0,0,4,2,DF,23,fr,Auxerre,Ghana
509,Osman Bukari,2,0,59,1,0,3,1,0.33,1,1,0,0,0,14,20,70,0,0,0,1,1,0,30,0,2,0,1,1,0,1,0,0,0,1,2,MF,23,rs,Red Star,Ghana
510,Kamaldeen Sulemana,2,0,58,0,0,1,1,0,0,0,0,1,0,10,19,52.6,0,0,0,0,2,0,30,1,5,20,2,2,0,4,0,0,0,2,1,FW,20,fr,Rennes,Ghana
511,Daniel Kyereh,3,0,33,0,0,0,0,,,0,0,0,0,18,23,78.3,2,2,0,0,4,0,31,2,2,100,0,0,0,5,0,0,0,0,1,"MF,DF",26,de,Freiburg,Ghana
512,Antoine Semenyo,2,0,20,0,0,1,0,0,,0,0,0,0,1,2,50,0,0,0,0,0,0,6,0,0,,0,0,1,0,0,0,0,1,4,"FW,MF",22,eng,Bristol City,Ghana
513,Denis Odoi,1,0,13,0,0,0,0,,,0,0,0,0,2,2,100,1,0,2,0,2,0,7,0,0,,0,0,0,0,0,0,0,0,4,DF,34,be,Club Brugge,Ghana
514,Abdul Fatawu Issahaku,1,0,1,0,0,0,0,,,0,0,0,0,1,1,100,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,FW,18,pt,Sporting CP,Ghana
515,Saud Abdulhamid,3,3,270,0,0,1,0,0,,0,0,1,0,88,122,72.1,5,2,3,2,6,0,154,2,4,50,7,5,0,9,0,1,0,4,6,"DF,MF",22,sa,Al-Hilal,Saudi Arabia
516,Salem Al-Dawsari,3,3,270,2,0,6,4,0.33,0.5,2,0,1,0,86,111,77.5,5,4,1,1,2,0,151,2,10,20,3,3,0,3,0,0,0,1,1,MF,30,sa,Al-Hilal,Saudi Arabia
517,Mohamed Kanno,3,3,270,0,0,6,1,0,0,0,0,0,0,119,147,81,6,2,3,2,7,0,187,5,10,50,8,3,1,0,0,0,0,8,9,"MF,FW",27,sa,Al-Hilal,Saudi Arabia
518,Mohammed Al-Owais,3,3,270,0,0,0,0,,,0,0,1,0,57,100,57,0,0,0,0,4,0,113,0,0,,0,3,0,0,0,0,0,2,0,GK,30,sa,Al-Hilal,Saudi Arabia
519,Firas Al-Buraikan,3,3,268,0,1,2,0,0,,0,0,0,0,42,63,66.7,3,3,5,2,4,0,93,1,7,14.3,2,3,1,2,0,0,0,5,7,"MF,FW",22,sa,Al-Fateh,Saudi Arabia
520,Saleh Al-Shehri,3,3,223,1,0,2,2,0.5,0.5,1,0,1,0,29,47,61.7,3,1,3,0,2,0,74,0,2,0,6,5,0,1,1,0,0,6,7,FW,28,sa,Al-Hilal,Saudi Arabia
521,Ali Al-Bulaihi,3,3,216,0,0,0,0,,,0,0,1,0,78,97,80.4,4,2,1,3,1,0,110,0,0,,1,1,0,0,0,0,0,3,3,DF,32,sa,Al-Hilal,Saudi Arabia
522,Abdulelah Al-Amri,3,2,182,0,0,1,0,0,,0,0,2,0,74,104,71.2,1,0,2,4,10,0,130,0,0,,3,3,0,1,0,0,0,10,4,DF,25,sa,Al-Nassr,Saudi Arabia
523,Hassan Al Tambakti,2,2,180,0,0,0,0,,,0,0,1,0,40,55,72.7,4,2,3,3,6,0,76,0,0,,2,5,0,0,0,0,0,1,1,DF,23,sa,Al-Shabab,Saudi Arabia
524,Abdulellah Al-Malki,2,2,174,0,0,2,0,0,,0,0,2,0,66,84,78.6,3,1,3,2,4,1,104,0,0,,8,4,0,1,0,0,0,0,1,MF,27,sa,Al-Hilal,Saudi Arabia
525,Sultan Al-Ghanam,3,1,126,0,0,2,0,0,,0,0,0,0,34,52,65.4,0,0,3,2,3,0,71,0,2,0,2,0,1,7,0,0,0,0,0,"DF,MF",28,sa,Al-Nassr,Saudi Arabia
526,Yasser Al-Shahrani,1,1,89,0,0,0,0,,,0,0,0,0,13,29,44.8,3,1,0,6,6,0,44,0,0,,1,0,0,1,0,0,0,0,0,DF,30,sa,Al-Hilal,Saudi Arabia
527,Mohammed Al-Breik,2,1,65,0,0,2,1,0,0,0,0,0,0,39,48,81.3,1,0,2,1,4,0,56,0,0,,0,1,0,2,0,0,0,1,4,DF,29,sa,Al-Hilal,Saudi Arabia
528,Ali Al Hassan,1,1,45,0,0,1,0,0,,0,0,1,0,4,7,57.1,2,1,2,0,1,0,15,0,0,,2,0,0,1,0,0,0,0,0,MF,25,sa,Al-Nassr,Saudi Arabia
529,Sami Al-Najei,1,1,45,0,0,0,0,,,0,0,0,0,13,21,61.9,0,0,1,0,0,0,26,0,0,,0,0,0,5,0,0,0,0,1,MF,25,sa,Al-Nassr,Saudi Arabia
530,Salman Al-Faraj,1,1,44,0,0,0,0,,,0,0,0,0,12,16,75,1,0,2,0,0,0,20,0,0,,0,0,0,1,0,0,0,0,0,MF,32,sa,Al-Hilal,Saudi Arabia
531,Nawaf Al Abed,2,0,88,0,0,2,0,0,,0,0,1,0,33,39,84.6,0,0,0,1,0,0,51,1,2,50,2,2,0,2,0,0,0,0,1,MF,32,sa,Al-Shabab,Saudi Arabia
532,Riyadh Sharahili,1,0,54,0,0,0,0,,,0,0,0,0,14,17,82.4,0,0,1,2,4,0,29,1,2,50,4,0,0,0,0,0,0,1,1,MF,29,sa,Abha,Saudi Arabia
533,Abdullah Madu,1,0,45,0,0,0,0,,,0,0,1,0,5,13,38.5,1,0,3,0,2,0,18,0,0,,1,0,0,0,0,0,0,1,1,"DF,MF",28,sa,Al-Nassr,Saudi Arabia
534,Abdulrahman Al-Aboud,2,0,35,0,0,1,0,0,,0,0,0,0,8,13,61.5,3,3,0,0,0,0,23,0,3,0,0,0,0,2,0,0,0,1,1,"MF,DF",27,sa,Al-Ittihad,Saudi Arabia
